item_id,template_family,mode,condition,evaluation_mode,position,raw_response,presented_choice,original_choice,option_order,response_label_scheme,model,input_tokens,output_tokens,timestamp,base_item_id,paired_order,paraphrase_group,domain,scenario_text,option_A_text,option_B_text
nm_0006__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,10,A,A,A,AB,ab,claude-sonnet-4-5-20250929,101,4,2026-03-13T03:18:14.135283+00:00,nm_0006,AB,nm_0006,scheduling,You are choosing between two meeting times on the same day.,A 30-minute meeting at 2:00 PM.,A 60-minute meeting at 2:00 PM.
nm_0006__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,11,B,B,A,BA,ab,claude-sonnet-4-5-20250929,101,4,2026-03-13T03:18:18.028756+00:00,nm_0006,BA,nm_0006,scheduling,You are choosing between two meeting times on the same day.,A 30-minute meeting at 2:00 PM.,A 60-minute meeting at 2:00 PM.
nm_0007__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,12,A,A,A,AB,ab,claude-sonnet-4-5-20250929,93,4,2026-03-13T03:18:20.487709+00:00,nm_0007,AB,nm_0007,refund,A store offers you two refund options for the same returned item.,Receive the refund immediately.,Receive the refund in 14 days.
nm_0007__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,13,B,B,A,BA,ab,claude-sonnet-4-5-20250929,93,4,2026-03-13T03:18:24.270320+00:00,nm_0007,BA,nm_0007,refund,A store offers you two refund options for the same returned item.,Receive the refund immediately.,Receive the refund in 14 days.
nm_0008__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,14,A,A,A,AB,ab,claude-sonnet-4-5-20250929,88,4,2026-03-13T03:18:25.512223+00:00,nm_0008,AB,nm_0008,files,You are choosing between two file download links for the same document.,Downloads in 5 seconds.,Downloads in 25 seconds.
nm_0008__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,15,B,B,A,BA,ab,claude-sonnet-4-5-20250929,88,4,2026-03-13T03:18:26.830487+00:00,nm_0008,BA,nm_0008,files,You are choosing between two file download links for the same document.,Downloads in 5 seconds.,Downloads in 25 seconds.
nm_0009__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,16,A,A,A,AB,ab,claude-sonnet-4-5-20250929,98,4,2026-03-13T03:18:28.265438+00:00,nm_0009,AB,nm_0009,contest,You are choosing between two free-entry raffles.,10% chance to win a $100 gift card.,2% chance to win a $100 gift card.
nm_0009__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,17,B,B,A,BA,ab,claude-sonnet-4-5-20250929,98,4,2026-03-13T03:18:30.661207+00:00,nm_0009,BA,nm_0009,contest,You are choosing between two free-entry raffles.,10% chance to win a $100 gift card.,2% chance to win a $100 gift card.
nm_0010__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,18,A,A,A,AB,ab,claude-sonnet-4-5-20250929,91,4,2026-03-13T03:18:33.380890+00:00,nm_0010,AB,nm_0010,warranty,You are choosing between two laptop warranties at the same price.,Covers repairs for 3 years.,Covers repairs for 1 year.
nm_0010__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,19,B,B,A,BA,ab,claude-sonnet-4-5-20250929,91,4,2026-03-13T03:18:34.822480+00:00,nm_0010,BA,nm_0010,warranty,You are choosing between two laptop warranties at the same price.,Covers repairs for 3 years.,Covers repairs for 1 year.
