item_id,template_family,mode,condition,evaluation_mode,position,raw_response,presented_choice,original_choice,option_order,response_label_scheme,model,input_tokens,output_tokens,timestamp,base_item_id,paired_order,paraphrase_group,domain,scenario_text,option_A_text,option_B_text
nm_0006__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,10,1,1,A,AB,12,claude-sonnet-4-5-20250929,109,5,2026-03-13T03:25:12.890329+00:00,nm_0006,AB,nm_0006,scheduling,You are choosing between two meeting times on the same day.,A 30-minute meeting at 2:00 PM.,A 60-minute meeting at 2:00 PM.
nm_0006__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,11,2,2,A,BA,12,claude-sonnet-4-5-20250929,109,5,2026-03-13T03:25:16.747346+00:00,nm_0006,BA,nm_0006,scheduling,You are choosing between two meeting times on the same day.,A 30-minute meeting at 2:00 PM.,A 60-minute meeting at 2:00 PM.
nm_0007__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,12,1,1,A,AB,12,claude-sonnet-4-5-20250929,101,5,2026-03-13T03:25:20.232319+00:00,nm_0007,AB,nm_0007,refund,A store offers you two refund options for the same returned item.,Receive the refund immediately.,Receive the refund in 14 days.
nm_0007__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,13,2,2,A,BA,12,claude-sonnet-4-5-20250929,101,5,2026-03-13T03:25:23.506862+00:00,nm_0007,BA,nm_0007,refund,A store offers you two refund options for the same returned item.,Receive the refund immediately.,Receive the refund in 14 days.
nm_0008__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,14,1,1,A,AB,12,claude-sonnet-4-5-20250929,96,5,2026-03-13T03:25:26.990500+00:00,nm_0008,AB,nm_0008,files,You are choosing between two file download links for the same document.,Downloads in 5 seconds.,Downloads in 25 seconds.
nm_0008__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,15,2,2,A,BA,12,claude-sonnet-4-5-20250929,96,5,2026-03-13T03:25:30.879527+00:00,nm_0008,BA,nm_0008,files,You are choosing between two file download links for the same document.,Downloads in 5 seconds.,Downloads in 25 seconds.
nm_0009__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,16,1,1,A,AB,12,claude-sonnet-4-5-20250929,106,5,2026-03-13T03:25:33.336038+00:00,nm_0009,AB,nm_0009,contest,You are choosing between two free-entry raffles.,10% chance to win a $100 gift card.,2% chance to win a $100 gift card.
nm_0009__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,17,2,2,A,BA,12,claude-sonnet-4-5-20250929,106,5,2026-03-13T03:25:36.565050+00:00,nm_0009,BA,nm_0009,contest,You are choosing between two free-entry raffles.,10% chance to win a $100 gift card.,2% chance to win a $100 gift card.
nm_0010__AB,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,18,1,1,A,AB,12,claude-sonnet-4-5-20250929,99,5,2026-03-13T03:25:40.504157+00:00,nm_0010,AB,nm_0010,warranty,You are choosing between two laptop warranties at the same price.,Covers repairs for 3 years.,Covers repairs for 1 year.
nm_0010__BA,generic_forced_choice,nonmoral_order_ablation,no_reflection,independent,19,2,2,A,BA,12,claude-sonnet-4-5-20250929,99,5,2026-03-13T03:25:43.985658+00:00,nm_0010,BA,nm_0010,warranty,You are choosing between two laptop warranties at the same price.,Covers repairs for 3 years.,Covers repairs for 1 year.
